Category,Type,LCOE Low,LCOE,LCOE High,Source
Coal,Coal,6.0,0.0,14.3,https://www.lazard.com/media/450784/lazards-levelized-cost-of-energy-version-120-vfinal.pdf
Coal,Coal,6.0,0.0,14.0,https://openei.org/apps/TCDB/
Coal,Coal,5.175,0.0,9.2,https://www.ise.fraunhofer.de/content/dam/ise/en/documents/publications/studies/EN2018_Fraunhofer-ISE_LCOE_Renewable_Energy_Technologies.pdf
Coal,Coal,7.13,0.0,11.385,https://www.ise.fraunhofer.de/content/dam/ise/en/documents/publications/studies/EN2018_Fraunhofer-ISE_LCOE_Renewable_Energy_Technologies.pdf
Coal,Coal,6.5,0.0,9.0,https://www.nrel.gov/docs/fy17osti/67645.pdf
Coal,Depreciated Coal,0.0,3.6,0.0,https://www.lazard.com/media/450784/lazards-levelized-cost-of-energy-version-120-vfinal.pdf
Coal,IGCC,8.0,0.0,12.0,https://openei.org/apps/TCDB/
Coal,IGCC,6.5,0.0,11.0,https://www.nrel.gov/docs/fy17osti/67645.pdf
Coal,IGCC,6.0,0.0,8.8,https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf
Coal,Supercritical,5.25,0.0,6.0,http://www.co2crc.com.au/wp-content/uploads/2016/04/LCOE_Report_final_web.pdf
Coal,Supercritical,4.875,0.0,6.375,http://www.co2crc.com.au/wp-content/uploads/2016/04/LCOE_Report_final_web.pdf
Coal,Advanced Ultra-Supercritical,5.8,0.0,8.2,https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf
Coal,20-30% CCS,9.37,10.43,12.47,https://www.eia.gov/outlooks/aeo/pdf/electricity_generation.pdf
Coal,20-30% CCS,6.5,0.0,9.0,https://www.nrel.gov/docs/fy17osti/67645.pdf
Coal,90+% CCS,8.9,9.86,10.98,https://www.eia.gov/outlooks/aeo/pdf/electricity_generation.pdf
Coal,90+% CCS,11.0,0.0,14.5,https://www.nrel.gov/docs/fy17osti/67645.pdf
Coal,IGCC with CCS,10.875,0.0,13.5,http://www.co2crc.com.au/wp-content/uploads/2016/04/LCOE_Report_final_web.pdf
Coal,IGCC with CCS,12.375,0.0,14.25,http://www.co2crc.com.au/wp-content/uploads/2016/04/LCOE_Report_final_web.pdf
Coal,IGCC with CCS,10.0,0.0,14.8,https://www.nrel.gov/docs/fy17osti/67645.pdf
Coal,Supercritical with CCS,9.0,0.0,11.625,http://www.co2crc.com.au/wp-content/uploads/2016/04/LCOE_Report_final_web.pdf
Coal,Supercritical with CCS,8.25,0.0,10.5,http://www.co2crc.com.au/wp-content/uploads/2016/04/LCOE_Report_final_web.pdf
Gas,Combined Cycle,4.875,0.0,7.125,http://www.co2crc.com.au/wp-content/uploads/2016/04/LCOE_Report_final_web.pdf
Gas,Combined Cycle,4.1,0.0,7.4,https://www.lazard.com/media/450784/lazards-levelized-cost-of-energy-version-120-vfinal.pdf
Gas,Combined Cycle,8.97,0.0,11.5,https://www.ise.fraunhofer.de/content/dam/ise/en/documents/publications/studies/EN2018_Fraunhofer-ISE_LCOE_Renewable_Energy_Technologies.pdf
Gas,Combined Cycle,3.0,0.0,7.0,https://openei.org/apps/TCDB/
Gas,Combined Cycle,4.0,0.0,8.0,https://www.nrel.gov/docs/fy17osti/67645.pdf
Gas,Combined Cycle,4.24,4.63,5.5,https://www.eia.gov/outlooks/aeo/pdf/electricity_generation.pdf
Gas,Combined Cycle,3.78,4.12,4.81,https://www.eia.gov/outlooks/aeo/pdf/electricity_generation.pdf
Gas,Combustion Turbine,7.11,7.77,8.67,https://www.eia.gov/outlooks/aeo/pdf/electricity_generation.pdf
Gas,Combustion Turbine,8.41,8.93,10.01,https://www.eia.gov/outlooks/aeo/pdf/electricity_generation.pdf
Gas,Combustion Turbine,5.0,0.0,34.0,https://openei.org/apps/TCDB/
Gas,Gas Peaking,12.65,0.0,25.3,https://www.ise.fraunhofer.de/content/dam/ise/en/documents/publications/studies/EN2018_Fraunhofer-ISE_LCOE_Renewable_Energy_Technologies.pdf
Gas,Gas Peaking,15.2,0.0,20.6,https://www.lazard.com/media/450784/lazards-levelized-cost-of-energy-version-120-vfinal.pdf
Gas,Natural Gas CCS,5.56,6.75,7.57,https://www.eia.gov/outlooks/aeo/pdf/electricity_generation.pdf
Gas,Natural Gas CCS,5.5,0.0,12.0,https://www.nrel.gov/docs/fy17osti/67645.pdf
Gas,Natural Gas CCS,6.75,0.0,9.375,http://www.co2crc.com.au/wp-content/uploads/2016/04/LCOE_Report_final_web.pdf
Petroleum,Oil Power Plant,0.0,16.24,0.0,https://www.q-cells.eu/uploads/tx_abdownloads/files/12_6DO.13.2_Breyer2011_HybPV-FossilPlants_paper_PVSEC_preprint_01.pdf
Petroleum,Oil Power Plant,16.1,0.0,18.4,https://www.bicc.de/uploads/tx_bicctools/MENA_Select-Electricity_Planning_for_Sustainable_Development_in_the_MENA_Region-main.pdf
Petroleum,Diesel Generator,16.4,0.0,21.0,https://res.mdpi.com/energies/energies-11-00687/article_deploy/energies-11-00687-v3.pdf?filename=&attachment=1
Biomass,Biomass,8.31,9.22,11.41,https://www.eia.gov/outlooks/aeo/pdf/electricity_generation.pdf
Biomass,Biomass,7.0,0.0,16.5,https://www.nrel.gov/docs/fy17osti/67645.pdf
Biomass,Biomass,6.0,0.0,11.0,https://openei.org/apps/TCDB/
Biomass,Biomass,5.0,7.0,14.0,https://www.irena.org/publications/2018/Jan/Renewable-power-generation-costs-in-2017
Biomass,Biomass Microgrid,0.0,13.275,0.0,https://www.mdpi.com/2071-1050/9/6/910/htm
Biomass,Biogas,0.0,13.3,0.0,https://www.worldenergy.org/wp-content/uploads/2013/09/WEC_J1143_CostofTECHNOLOGIES_021013_WEB_Final.pdf
Biomass,Biogas,11.615,0.0,16.905,https://www.ise.fraunhofer.de/content/dam/ise/en/documents/publications/studies/EN2018_Fraunhofer-ISE_LCOE_Renewable_Energy_Technologies.pdf
Biomass,Biogas,0.0,19.0,0.0,https://www.ourenergypolicy.org/wp-content/uploads/2016/08/Food-Waste.pdf
Biomass,Landfill Gas,0.0,6.5,0.0,https://www.ourenergypolicy.org/wp-content/uploads/2016/08/Food-Waste.pdf
Biomass,Landfill Gas,3.4,6.1,9.5,https://www.worldenergy.org/wp-content/uploads/2013/09/WEC_J1143_CostofTECHNOLOGIES_021013_WEB_Final.pdf
Biomass,Gasification,5.0,0.0,14.0,https://www.worldenergy.org/wp-content/uploads/2013/09/WEC_J1143_CostofTECHNOLOGIES_021013_WEB_Final.pdf
Biomass,Incineration,8.0,10.5,21.0,https://www.worldenergy.org/wp-content/uploads/2013/09/WEC_J1143_CostofTECHNOLOGIES_021013_WEB_Final.pdf
Biomass,Incineration,0.0,9.4,0.0,https://pdfs.semanticscholar.org/9997/56e83efaca3d0b94c59b6837189d3614170f.pdf
Biomass,Incineration (non-MSW),5.0,12.2,20.0,https://www.worldenergy.org/wp-content/uploads/2013/09/WEC_J1143_CostofTECHNOLOGIES_021013_WEB_Final.pdf
Biomass,Incineration with CCS,0.0,28.5,0.0,https://pdfs.semanticscholar.org/9997/56e83efaca3d0b94c59b6837189d3614170f.pdf
Nuclear,Nuclear,6.0,0.0,11.0,https://openei.org/apps/TCDB/
Nuclear,Nuclear,11.2,0.0,18.9,https://www.lazard.com/media/450784/lazards-levelized-cost-of-energy-version-120-vfinal.pdf
Nuclear,Nuclear,10.5,0.0,15.75,http://www.co2crc.com.au/wp-content/uploads/2016/04/LCOE_Report_final_web.pdf
Nuclear,Depreciated Nuclear,0.0,2.8,0.0,https://www.lazard.com/media/450784/lazards-levelized-cost-of-energy-version-120-vfinal.pdf
Nuclear,Advanced Nuclear,7.51,7.75,8.12,https://www.eia.gov/outlooks/aeo/pdf/electricity_generation.pdf
Nuclear,Small Modular Reactor,0.0,6.0,0.0,https://www.energy.gov/ne/downloads/small-modular-reactors-key-future-nuclear-power-generation-us
Nuclear,Small Modular Reactor,6.5,0.0,12.0,https://docplayer.net/4589266-Developing-a-range-of-levelized-cost-estimates-for-integral-light-water-small-modular-reactors.html
Nuclear,Small Modular Reactor,5.5,0.0,9.7,https://www.energy.gov/sites/prod/files/2014/06/f16/Electricity%20Generating%20Portfolios%20with%20SMRs.pdf
Nuclear,Small Modular Reactor,6.5,8.5,11.0,https://www.osti.gov/servlets/purl/1327234
Nuclear,Small Modular Reactor,12.04,14.14,17.36,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/665197/TEA_Project_1_Vol_1_-_Comprehensive_Analysis_and_Assessment_SMRs.pdf
Nuclear,Small Modular Reactor,7.5,0.0,12.5,https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf
Nuclear,Small Modular Reactor,7.7,0.0,24.0,https://docplayer.net/4589266-Developing-a-range-of-levelized-cost-estimates-for-integral-light-water-small-modular-reactors.html
Nuclear,Small Modular Reactor,6.1,0.0,14.0,https://www.uamps.com/file/b5110bfa-d567-46c9-b20d-3c4a4546a7ed
Nuclear,Generation IV,3.6,0.0,9.0,https://www.eenews.net/assets/2017/07/25/document_gw_07.pdf
